Dispozice,Plocha,Vybaveno,Podlaží,PENB,Balkón,Terasa,Sklep,Lodžie,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště,Data z roku,Price per m2,Kraj_Jihomoravský kraj,Kraj_Jihočeský kraj,Kraj_Karlovarský kraj,Kraj_Královéhradecký kraj,Kraj_Liberecký kraj,Kraj_Moravskoslezský kraj,Kraj_Olomoucký kraj,Kraj_Plzeňský kraj,Kraj_Praha,Kraj_Středočeský kraj,Kraj_Zlínský kraj,Kraj_kraj Vysočina,Kraj_Ústecký kraj
-1.8369597889578093,-1.3854312976949195,-1.0588987406456554,-0.5911511473300826,-0.6322614544014533,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,-0.9050205420030546,-0.6018419563789279,-0.32502025482589236,0.011982383944425705,0.27132530439976904,-0.31967480169513196,-0.24959531134826318,-0.38656275773639037,0.08364055118014112,-0.5428594879468626,-0.6000128668329209,-0.5348895870808849,-0.4560410042145345,0.5806935040731908,0.9042195905613545,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1753623858682373,-0.03436576571178041,0.26019710764905457,0.28338499560092884,1.7430449990288486,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,1.1049472952146815,1.6615657805192738,-0.32502025482589236,-0.2569230315749496,0.9804211929019219,-0.4235315701349246,-0.03064120312906842,-0.40811521884468677,-0.47178967329599425,-0.36695602817343415,-0.3949794968721616,-0.5334151868854138,-0.36013098099488233,0.5806935040731908,0.01836064740617321,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1753623858682373,-0.2454697550841459,-1.0588987406456554,1.595189209997446,-0.6322614544014533,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,1.1049472952146815,-0.6018419563789279,-0.32502025482589236,-0.4479069914608696,-0.5268098560323061,-0.22503113368145,-0.643132146007384,-0.2668268626902994,-0.36220769477265613,-0.48458806319219744,-0.5986306193949832,-0.16039193743122582,-0.2800909616173308,0.5806935040731908,-0.8772367234003805,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.1753623858682373,-0.41435294658203825,-1.0588987406456554,0.7206530670664345,1.7430449990288486,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,-0.9050205420030546,-0.6018419563789279,-0.32502025482589236,-0.07968991680081589,-0.12345122656663374,-0.49891148271219343,-0.45652353104784305,-0.3626155787271722,-0.5786858190123878,-0.4214153036450838,-0.5534772030890183,-0.6267938659319167,-0.48847101206578375,0.5806935040731908,0.1843922510205057,0,0,0,0,0,0,0,0,1,0,0,0,0
-1.283093987927952,0.05007583003716578,-1.0588987406456554,-1.0284192187955883,-0.6322614544014533,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,2.2024576436633567,-0.9050205420030546,-0.6018419563789279,-0.32502025482589236,-0.3287330004920555,-0.6651961943330289,-0.4520084259974484,-0.6630370649364018,-0.4137028939468377,-0.5668681546618317,-0.3860167745885115,-0.6327260561974466,-0.1825079403632923,-0.24076095209560297,0.5806935040731908,-0.43247901471582245,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9323692161914774,0.5145046066563698,-2.377994588940365,-0.5911511473300826,-0.6322614544014533,-0.4226887578317621,-0.20355750541289608,1.3487458336746256,2.2024576436633567,-0.9050205420030546,1.6615657805192738,-0.32502025482589236,1.4512375056447187,-0.21570878543378222,-0.055845107674691044,0.11698694559447956,0.5840962314372535,-0.3122512045634873,0.5937055911464663,-0.5838866467236478,0.7773265868883928,1.8940995647504677,-1.722078847078371,-0.7606771137631824,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9323692161914774,0.7678293939032084,0.26019710764905457,-0.15388307586457686,-0.6322614544014533,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,-0.9050205420030546,-0.6018419563789279,-0.32502025482589236,0.07156937942883274,1.800011599582171,4.528091131607447,1.24161486508398,4.726958200032,2.076528493933006,3.1554699093328673,-0.39820474089401625,2.321023591546633,1.229629403883381,0.5806935040731908,-1.1765121100878715,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.8369597889578093,-1.174327308322554,1.5792929559437643,-1.0284192187955883,-0.15720016371539292,-0.4226887578317621,-0.20355750541289608,1.3487458336746256,-0.4540382435399283,1.1049472952146815,-0.6018419563789279,-0.32502025482589236,-0.2309492130304645,-0.17387105524984278,-0.4662468539287103,-0.22678759174209706,-0.18460821475865033,-0.2719637124593189,-0.3310129063621453,-0.5539379522349974,0.07944382769873953,-0.371170983667648,0.5806935040731908,0.5621141492431125,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.8369597889578093,-1.0898857125736077,0.26019710764905457,-0.15388307586457686,-0.15720016371539292,2.365806947716406,-0.20355750541289608,1.3487458336746256,-0.4540382435399283,1.1049472952146815,-0.6018419563789279,-0.32502025482589236,0.018093870660775144,-0.32405777898706123,-0.23424423410756062,-0.6758923250780591,-0.36660677522870855,-0.522283330066552,-0.06960838409822688,-0.2973006779245639,0.8756199332531327,0.9970993475882531,-1.722078847078371,0.09208741791639022,0,0,0,0,0,0,0,0,0,1,0,0,0
0.37850341516162006,0.5145046066563698,1.5792929559437643,0.7206530670664345,-0.15720016371539292,-0.4226887578317621,-0.20355750541289608,-0.7414295377473191,-0.4540382435399283,-0.9050205420030546,1.6615657805192738,-0.32502025482589236,-0.2645623899703864,-0.45278925647610563,-0.32888790212124264,-0.5912964196297338,-0.49113210607664315,-0.5733141533984987,-0.3244777933055474,-0.5327434915199527,-0.63121706651833,-0.4505210028781516,-1.722078847078371,-0.3202564389125316,0,0,0,0,0,1,0,0,0,0,0,0,0
