Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGII,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
1,https://www.bezrealitky.cz/nemovitosti-byty-domy/771203-nabidka-prodej-bytu-druzstevni-ochoz,3 599 000 Kč,NaN,NaN,NaN,PRODEJ,"Družstevní ochoz, Praha - Nusle",771203,1+kk,Dobrý,NaN,Osobní,Ostatní,29 m²,Částečně,NaN,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,166 m,1 138 m,110 m,567 m,273 m,713 m,224 m,198 m,534 m,110 m
2,https://www.bezrealitky.cz/nemovitosti-byty-domy/770261-nabidka-prodej-bytu-tobrucka-praha,3 890 000 Kč,NaN,NaN,NaN,PRODEJ,"Tobrucká, Praha - Vokovice",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,549 m,728 m,607 m,588 m,498 m,618 m,432 m,406 m,1 964 m,135 m
3,https://www.bezrealitky.cz/nemovitosti-byty-domy/771190-nabidka-prodej-bytu-postovni,2 399 000 Kč,NaN,NaN,NaN,PRODEJ,"Poštovní, Zruč nad Sázavou, Středočeský kraj",771190,2+1,Dobrý,NaN,Osobní,Panel,45 m²,Částečně,6,NaN,1.0,1.0,NaN,NaN,NaN,1.0,NaN,NaN,NaN,NaN,195 m,192 m,956 m,1 643 m,1 705 m,1 352 m,506 m,795 m,1 095 m,319 m
4,https://www.bezrealitky.cz/nemovitosti-byty-domy/771167-nabidka-prodej-bytu,1 900 000 Kč,NaN,NaN,NaN,PRODEJ,"Doubravice u Strakonic, Jihočeský kraj",771167,2+1,Dobrý,NaN,Osobní,Panel,83 m²,Částečně,2,NaN,1.0,1.0,NaN,NaN,1.0,NaN,NaN,1.0,NaN,1.0,461 m,151 m,163 m,10 448 m,10 647 m,NaN,9 103 m,8 933 m,330 m,2 755 m
5,https://www.bezrealitky.cz/nemovitosti-byty-domy/771159-nabidka-prodej-bytu-milevska,2 590 750 Kč,NaN,NaN,NaN,PRODEJ,"Milevská, Kladruby u Stříbra, Plzeňský kraj",771159,3+1,Velmi dobrý,NaN,Osobní,Panel,72 m²,Částečně,3,NaN,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,804 m,418 m,286 m,NaN,5 045 m,5 660 m,767 m,599 m,637 m,305 m
6,https://www.bezrealitky.cz/nemovitosti-byty-domy/771158-nabidka-prodej-bytu-zapadni-predmesti,2 590 750 Kč,NaN,NaN,NaN,PRODEJ,"Západní Předměstí, Stříbro, Plzeňský kraj",771158,2+1,Dobrý,NaN,Osobní,Cihla,67 m²,Nevybaveno,2,NaN,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,290 m,1 185 m,906 m,NaN,1 726 m,1 832 m,936 m,6 855 m,3 574 m,2 065 m
7,https://www.bezrealitky.cz/nemovitosti-byty-domy/771157-nabidka-prodej-bytu-na-vyhlidce,2 650 000 Kč,NaN,NaN,NaN,PRODEJ,"Na Vyhlídce, Kaplice, Jihočeský kraj",771157,2+1,Dobrý,NaN,Osobní,Panel,67 m²,Částečně,4,NaN,1.0,1.0,1.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,274 m,781 m,293 m,736 m,293 m,602 m,512 m,516 m,818 m,207 m
8,https://www.bezrealitky.cz/nemovitosti-byty-domy/770245-nabidka-prodej-bytu-skuherskeho-ceske-budejovice,5 380 000 Kč,NaN,NaN,NaN,PRODEJ,"Skuherského, České Budějovice 3, Jihočeský kraj",770245,3+kk,Velmi dobrý,11. 3. 2023,Osobní,Cihla,70 m²,Částečně,2,G,1.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0,1.0,NaN,202 m,719 m,324 m,772 m,177 m,775 m,258 m,497 m,1 645 m,111 m
9,https://www.bezrealitky.cz/nemovitosti-byty-domy/771143-nabidka-prodej-bytu-vladimirska,2 750 000 Kč,NaN,NaN,NaN,PRODEJ,"Vladimirská, Česká Lípa, Liberecký kraj",771143,3+1,Velmi dobrý,NaN,Osobní,Panel,70 m²,Částečně,6,NaN,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN,246 m,134 m,57 m,1 849 m,413 m,718 m,577 m,2 168 m,2 406 m,24 m
10,https://www.bezrealitky.cz/nemovitosti-byty-domy/771141-nabidka-prodej-bytu-havanska,2 990 000 Kč,NaN,NaN,NaN,PRODEJ,"Havanská, Tábor, Jihočeský kraj",771141,3+1,Dobrý,NaN,Osobní,Panel,67 m²,Nevybaveno,9,NaN,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,326 m,421 m,241 m,4 192 m,254 m,456 m,1 169 m,313 m,405 m,160 m
