Index,URL,CENA,POPLATKY ZA SLUŽBY,POPLATKY ZA ENERGII,VRATNÁ KAUCE,TYP NABÍDKY,LOKACE,ČÍSLO INZERÁTU,DISPOZICE,STAV,DOSTUPNÉ OD,VLASTNICTVÍ,TYP BUDOVY,PLOCHA,VYBAVENO,PODLAŽÍ,PENB,Internet,Energie,Balkón,Terasa,Sklep,Lodžie,Bezbariérový přístup,Parkování,Výtah,Garáž,MHD,Pošta,Obchod,Banka,Restaurace,Lékárna,Škola,Mateřská škola,Sportoviště,Hřiště
13,https://www.bezrealitky.cz/nemovitosti-byty-domy/776330-nabidka-prodej-bytu-poznanska-hlavni-mesto-praha,6 240 000 Kč,NaN,NaN,NaN,PRODEJ,"Poznaňská, Praha - Bohnice",776330,3+1,Dobrý,10. 4. 2023,Osobní,Panel,73 m²,Částečně,3,C,1.0,1.0,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,284 m,581 m,355 m,511 m,351 m,369 m,565 m,1 867 m,2 067 m,190 m
14,https://www.bezrealitky.cz/nemovitosti-byty-domy/774243-nabidka-prodej-bytu-vrsovicka-praha,9 990 000 Kč,NaN,NaN,NaN,PRODEJ,"Vršovická, Praha - Vršovice",774243,2+1,Novostavba,1. 5. 2023,Osobní,Cihla,75 m²,Vybaveno,5,D,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,147 m,468 m,149 m,564 m,126 m,258 m,242 m,322 m,215 m,466 m
15,https://www.bezrealitky.cz/nemovitosti-byty-domy/776324-nabidka-prodej-bytu-praha,8 590 000 Kč,NaN,NaN,NaN,PRODEJ,Praha - Strašnice,776324,2+kk,Novostavba,10. 4. 2023,Osobní,Cihla,56 m²,Částečně,2,B,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229 m,970 m,326 m,484 m,376 m,521 m,797 m,690 m,368 m,220 m
16,https://www.bezrealitky.cz/nemovitosti-byty-domy/713275-nabidka-prodej-bytu-ceneticka-hlavni-mesto-praha,3 585 000 Kč,NaN,NaN,NaN,PRODEJ,"Čenětická, Praha - Chodov",713275,1+kk,Velmi dobrý,1. 12. 2023,Osobní,Panel,23 m²,Nevybaveno,7,C,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,167 m,1 805 m,499 m,1 438 m,177 m,1 493 m,701 m,1 550 m,551 m,251 m
17,https://www.bezrealitky.cz/nemovitosti-byty-domy/772894-nabidka-prodej-bytu-kodanska-praha,4 990 000 Kč,NaN,NaN,NaN,PRODEJ,"Kodaňská, Praha - Vršovice",772894,2+1,Dobrý,12. 4. 2023,Osobní,Cihla,40 m²,Nevybaveno,2,D,1.0,1.0,NaN,NaN,1.0,NaN,NaN,1.0,NaN,NaN,127 m,670 m,146 m,409 m,139 m,544 m,178 m,220 m,298 m,317 m
18,https://www.bezrealitky.cz/nemovitosti-byty-domy/763461-nabidka-prodej-bytu-v-domove-hlavni-mesto-praha,3 350 000 Kč,NaN,NaN,NaN,PRODEJ,"V Domově, Praha - Žižkov",763461,1+kk,Dobrý,1. 4. 2023,Osobní,Cihla,23 m²,Nevybaveno,-1,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177 m,1 260 m,157 m,599 m,102 m,459 m,448 m,334 m,339 m,234 m
19,https://www.bezrealitky.cz/nemovitosti-byty-domy/768294-nabidka-prodej-bytu-zalesanska-hlavni-mesto-praha,5 389 000 Kč,NaN,NaN,NaN,PRODEJ,"Zalešanská, Praha - Újezd nad Lesy",768294,2+kk,Ve výstavbě,1. 10. 2024,Osobní,Cihla,43 m²,Nevybaveno,2,B,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,617 m,1 699 m,807 m,1 042 m,257 m,1 579 m,1 158 m,405 m,2 340 m,40 m
20,https://www.bezrealitky.cz/nemovitosti-byty-domy/772525-nabidka-prodej-bytu-podskalska-hlavni-mesto-praha,7 450 000 Kč,NaN,NaN,NaN,PRODEJ,"Podskalská, Praha - Nové Město",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,226 m,680 m,77 m,295 m,66 m,391 m,436 m,190 m,489 m,426 m
21,https://www.bezrealitky.cz/nemovitosti-byty-domy/769914-nabidka-prodej-bytu-straznicka-hlavni-mesto-praha,7 000 000 Kč,NaN,NaN,NaN,PRODEJ,"Strážnická, Praha - Čimice",769914,2+kk,Dobrý,9. 3. 2023,Osobní,Panel,54 m²,Částečně,3,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN,136 m,241 m,327 m,2 747 m,223 m,259 m,801 m,417 m,2 152 m,310 m
22,https://www.bezrealitky.cz/nemovitosti-byty-domy/776303-nabidka-prodej-bytu-dukovanska-trebic,4 200 000 Kč,NaN,NaN,NaN,PRODEJ,"Dukovanská, Třebíč, Kraj Vysočina",776303,3+1,Velmi dobrý,31. 8. 2023,Osobní,Panel,70 m²,Vybaveno,6,G,1.0,1.0,NaN,NaN,NaN,NaN,NaN,1.0,1.0,NaN,360 m,799 m,392 m,3 069 m,418 m,670 m,92 m,92 m,497 m,407 m
